Rank,Name,City & State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Composite Range,ACT Composite Range,Website
#487,Ball State University,"Muncie, IN",Public,"19,231","22,513","$15,187","$10,658","$40,448","$83,700",62%,1080-1240,20-24,cms.bsu.edu
#488,Elmhurst College,"Elmhurst, IL",Private,"3,122","3,481","$22,443","$21,852","$50,000","$88,500",71%,985-1210,20-26,https://www.elmhurst.edu
#489,Touro College,"New York, NY",Private,"8,622","11,908","$23,539","$6,815","$35,111","$103,100",74%,N/A,N/A,www.touro.edu
#490,"CUNY, John Jay College of Criminal Justice","New York, NY",Public,"14,834","15,583","$3,843","$9,007","$41,261","$84,800",39%,980-1130,N/A,www.jjay.cuny.edu
#491,"CUNY, Lehman College","New York, NY",Public,"14,130","15,231","$1,886","$10,685","$34,532","$83,500",35%,970-1100,N/A,www.lehman.cuny.edu
#492,"California State University, East Bay","Hayward, CA",Public,"14,691","16,538","$11,566","$9,402","$36,990","$103,500",74%,N/A,N/A,www.csueastbay.edu
#493,University of South Dakota,"Vermillion, SD",Public,"9,416","10,261","$17,344","$5,145","$25,521","$87,900",87%,1010-1230,20-25,www.usd.edu
#494,"University of North Carolina, Asheville","Asheville, NC",Public,"3,852","4,429","$12,763","$8,060","$36,638","$76,100",80%,1080-1260,22-28,www.unca.edu
#495,Ashland University,"Ashland, OH",Private,"6,471","6,781","$20,221","$12,432","$33,954","$80,000",74%,965-1180,20-25,www.ashland.edu
#496,Simpson College (IA),"Indianola, IA",Private,"1,479","1,695","$22,005","$25,683","$50,180","$88,600",84%,1070-1220,21-27,simpson.edu
#497,"University of Missouri, Saint Louis","St. Louis, MO",Public,"16,715","17,095","$9,930","$12,471","$40,607","$87,500",76%,1065-1225,22-27,www.umsl.edu
#498,Florida Southern College,"Lakeland, FL",Private,"2,759","3,055","$24,679","$21,189","$49,900","$82,500",51%,1070-1250,24-29,https://www.flsouthern.edu
#499,"California State University, Los Angeles","Los Angeles, CA",Public,"24,862","28,531","$3,792","$9,553","$36,726","$93,800",46%,890-1080,15-20,www.calstatela.edu
#500,"California State University, San Bernardino","San Bernardino, CA",Public,"19,244","20,692","$8,519","$9,287","$36,127","$87,500",57%,910-1090,16-21,www.csusb.edu
#501,"University of Texas, Arlington","Arlington, TX",Public,"42,966","46,497","$13,200","$8,484","$39,860","$99,500",71%,1060-1270,20-27,www.uta.edu
#502,"University of Northwestern, St. Paul","Saint Paul, MN",Private,"3,521","3,702","$23,249","$17,134","$43,404",N/A,93%,970-1235,21-27,www.nwc.edu
#503,Lawrence Technological University,"Southfield, MI",Private,"2,268","3,069","$27,331","$17,291","$47,482","$108,400",60%,950-1330,21-28,https://www.ltu.edu
#504,Mississippi College,"Clinton, MS",Private,"3,513","5,036","$16,693","$13,649","$32,385","$79,500",39%,1070-1290,22-29,www.mc.edu
#505,University of North Georgia,"Dahlonega, GA",Public,"18,782","20,811","$9,854","$5,483","$28,094","$85,600",78%,910-1130,20-25,www.ung.edu
#506,Webster University,"St. Louis, MO",Private,"3,732","12,736","$22,937","$17,927","$44,962","$83,500",54%,1040-1253,21-26,www.webster.edu
#507,University of North Texas,"Denton, TX",Public,"35,099","38,276","$13,832","$10,638","$33,908","$90,100",72%,1060-1260,21-27,www.unt.edu
#508,Texas State University,"San Marcos, TX",Public,"37,449","38,666","$15,545","$8,129","$34,245","$90,600",73%,1020-1200,20-26,www.txstate.edu
#509,University of Maine,"Orono, ME",Public,"10,304","11,240","$17,074","$8,544","$43,618","$95,000",92%,1050-1250,22-27,www.umaine.edu
#510,Central College,"Pella, IA",Private,"1,237","1,433","$22,558","$26,389","$50,547","$88,800",70%,950-1220,21-26,www.central.edu
#511,Christian Brothers University,"Memphis, TN",Private,"1,919","2,157","$9,468","$23,780","$44,430","$96,500",53%,N/A,21-27,www.cbu.edu/admissions
#512,Manhattanville College,"Purchase, NY",Private,"1,802","2,690","$21,923","$26,213","$54,780","$97,500",82%,N/A,N/A,www.mville.edu
#513,Georgia State University,"Atlanta, GA",Public,"29,773","32,816","$15,506","$10,090","$40,873","$90,800",70%,1040-1220,19-26,www.gsu.edu
#514,William Jewell College,"Liberty, MO",Private,933,"1,082","$21,134","$25,621","$47,928","$94,500",48%,990-1240,23-28,www.jewell.edu/home
#515,Northern Arizona University,"Flagstaff, AZ",Public,"29,609","31,051","$14,789","$10,044","$40,705","$90,000",81%,N/A,N/A,nau.edu
#516,Westminster College (PA),"New Wilmington, PA",Private,"1,263","1,289","$21,618","$25,476","$49,546","$87,700",72%,990-1220,20-27,www.westminster.edu
#517,Missouri State University,"Springfield, MO",Public,"22,856","23,697","$15,855","$5,480","$28,502","$86,800",84%,1020-1245,21-26,www.missouristate.edu
#518,"University of Nebraska, Omaha","Omaha, NE",Public,"14,610","15,731","$13,173","$6,485","$34,522","$89,500",87%,840-1102,19-26,www.unomaha.edu
#519,Florida Gulf Coast University,"Fort Myers, FL",Public,"14,965","15,317","$15,376","$4,726","$39,434","$80,000",64%,1060-1210,21-25,www.fgcu.edu
#520,Meredith College,"Raleigh, NC",Private,"1,789","1,980","$24,545","$21,258","$49,324","$77,100",69%,1000-1195,20-25,www.meredith.edu
#521,College of Idaho,"Caldwell, ID",Private,954,999,"$21,433","$18,125","$41,347","$82,100",76%,N/A,N/A,www.collegeofidaho.edu
#522,Carroll University,"Waukesha, WI",Private,"3,048","3,452","$22,736","$18,551","$44,150","$86,500",71%,975-1210,21-26,www.carrollu.edu
#523,Old Dominion University,"Norfolk, VA",Public,"22,386","24,375","$15,368","$7,270","$43,444","$89,900",86%,980-1200,18-25,odu.edu
#524,Mount Saint Mary's University (CA),"Los Angeles, CA",Private,"3,100","3,226","$28,274","$23,270","$59,392","$97,500",81%,920-1120,16-21,www.msmc.la.edu/index.asp
#525,Andrews University,"Berrien Springs, MI",Private,"2,250","3,300","$21,460","$16,809","$39,714","$85,000",58%,1040-1320,21-29,www.andrews.edu
#526,Lynn University,"Boca Raton, FL",Private,"2,245","3,010","$35,077","$14,306","$55,923","$85,000",85%,N/A,N/A,www.lynn.edu
#527,Baldwin Wallace University,"Berea, OH",Private,"3,577","3,791","$23,729","$19,781","$46,004","$82,800",78%,N/A,N/A,www.bw.edu
#528,Otterbein University,"Westerville, OH",Private,"2,608","2,936","$24,287","$20,110","$46,390","$85,600",76%,1040-1305,21-27,www.otterbein.edu
#529,University of Massachusetts Boston,"Boston, MA",Public,"15,848","16,415","$12,412","$11,342","$46,941","$95,400",75%,1040-1220,21-26,www.umb.edu
#530,Queens University of Charlotte,"Charlotte, NC",Private,"1,906","2,507","$23,348","$22,152","$48,776","$86,600",79%,1010-1198,21-26,www.queens.edu
#531,"Minnesota State University, Mankato","Mankato, MN",Public,"14,712","15,273","$15,615","$5,108","$28,278","$90,900",61%,N/A,20-24,www.mnsu.edu
#532,Portland State University,"Portland, OR",Public,"26,693","27,483","$13,578","$6,772","$43,989","$90,500",92%,990-1220,19-25,www.pdx.edu
#533,Westminster College (MO),"Fulton, MO",Private,767,972,"$20,402","$18,133","$40,510",N/A,90%,1015-1175,21-26,www.westminster-mo.edu
#534,University of Northern Colorado,"Greeley, CO",Public,"11,278","13,399","$20,367","$7,708","$35,653","$87,100",89%,1000-1240,19-25,www.unco.edu
#535,Ripon College,"Ripon, WI",Private,756,813,"$18,592","$28,951","$52,341","$89,600",68%,1040-1260,20-26,www.ripon.edu
#536,Marietta College,"Marietta, OH",Private,"1,145","1,220","$24,022","$22,617","$50,104","$94,300",67%,960-1215,20-25,www.marietta.edu
#537,Sam Houston State University,"Huntsville, TX",Public,"19,784","20,938","$13,560","$8,976","$31,784","$89,900",74%,1000-1140,19-23,shsu.edu
#538,St. Mary's University (TX),"San Antonio, TX",Private,"2,432","3,649","$17,522","$22,029","$44,490","$95,300",80%,1040-1230,20-26,https://www.stmarytx.edu
#539,Illinois College,"Jacksonville, IL",Private,959,987,"$16,501","$24,557","$42,830","$81,700",55%,N/A,N/A,www.ic.edu
#540,Central Washington University,"Ellensburg, WA",Public,"12,901","15,944","$14,382","$7,096","$36,708","$93,200",86%,910-1100,17-24,www.cwu.edu
#541,Doane University,"Crete, NE",Private,"1,069","1,072","$24,449","$20,109","$46,710","$85,300",65%,N/A,20-25,www.doane.edu
#542,University of Hartford,"West Hartford, CT",Private,"6,259","6,561","$30,440","$21,526","$54,662","$101,600",81%,1030-1230,21-27,www.hartford.edu
#543,Hood College,"Frederick, MD",Private,"1,214","2,112","$23,416","$26,864","$54,840","$82,600",81%,N/A,N/A,www.hood.edu
#544,University of Colorado Colorado Springs,"Colorado Springs, CO",Public,"12,932","14,122","$15,872","$5,682","$36,298","$90,900",93%,1040-1250,21-26,www.uccs.edu
#545,St. Catherine University,"St. Paul, MN",Private,"3,747","4,724","$19,935","$26,729","$50,716","$82,600",70%,1040-1310,20-26,www.stkate.edu
#546,Fairleigh Dickinson University,"Teaneck, NJ",Private,"6,168","7,846","$16,136","$31,560","$56,618","$93,000",88%,1002-1200,20-25,view.fdu.edu/default.aspx?id=320
#547,Millersville University,"Millersville, PA",Public,"7,720","7,915","$22,032","$5,668","$38,569","$84,700",79%,970-1160,N/A,https://www.millersville.edu
#548,"University of Nevada, Las Vegas","Las Vegas, NV",Public,"27,561","30,471","$10,555","$4,998","$37,639","$90,400",81%,1030-1240,19-24,www.unlv.edu
#549,Wisconsin Lutheran College,"Milwaukee, WI",Private,"1,114","1,198","$20,073","$18,027","$41,996","$82,500",90%,1008-1278,20-26,www.wlc.edu
#550,Randolph College,"Lynchburg, VA",Private,684,691,"$25,614","$26,264","$54,225",N/A,86%,950-1190,19-25,www.randolphcollege.edu
#551,"CUNY, College of Staten Island","Staten Island, NY",Public,"13,594","15,245","$5,687","$7,929","$39,124","$94,600",N/A,N/A,N/A,www.csi.cuny.edu
#552,Vanguard University,"Costa Mesa, CA",Private,"2,116","2,394","$21,374","$22,396","$46,770","$85,600",47%,930-1120,18-24,www.vanguard.edu
#553,Immaculata University,"Immaculata, PA",Private,"1,906","2,481","$31,971","$21,301","$45,960","$88,100",83%,950-1170,17-23,www.immaculata.edu
#554,Lycoming College,"Williamsport, PA",Private,"1,217","1,404","$19,019","$31,000","$53,870","$91,000",64%,988-1200,21-25,www.lycoming.edu
#555,"University of Louisiana, Lafayette","Lafayette, LA",Public,"17,297","17,556","$12,768","$7,899","$38,503","$92,500",51%,820-1180,21-26,www.louisiana.edu
#556,Huntington University,"Huntington, IN",Private,"1,146","1,321","$21,892","$17,623","$37,296",N/A,81%,950-1170,20-24,huntington.edu
#557,Hollins University,"Roanoke, VA",Private,674,790,"$19,456","$32,492","$54,205","$78,000",48%,1110-1295,23-28,www.hollins.edu/index.shtml
#558,Benedictine University,"Lisle, IL",Private,"3,731","5,100","$23,827","$18,272","$48,016","$89,400",62%,916-1100,19-25,www.ben.edu
#559,"University of North Carolina, Greensboro","Greensboro, NC",Public,"18,091","19,922","$12,226","$9,017","$35,818","$76,600",78%,1030-1180,20-25,www.uncg.edu
#560,King's College (PA),"Wilkes-Barre, PA",Private,"2,244","2,469","$25,898","$21,560","$52,030","$86,500",71%,N/A,N/A,www.kings.edu
#561,Hastings College,"Hastings, NE",Private,"1,202","1,227","$21,703","$19,652","$43,527","$87,100",68%,970-1150,20-25,www.hastings.edu
#562,Georgia Southern University,"Statesboro, GA",Public,"20,314","20,418","$16,548","$6,648","$33,646","$88,000",68%,1100-1230,22-26,www.georgiasouthern.edu
#563,Southern Illinois University Edwardsville,"Edwardsville, IL",Public,"13,294","13,796","$15,574","$6,756","$37,774","$90,100",90%,980-1225,20-26,www.siue.edu
#564,Western Michigan University,"Kalamazoo, MI",Public,"19,990","22,869","$16,934","$7,894","$27,895","$92,200",82%,960-1190,20-26,wmich.edu
#565,Asbury University,"Wilmore, KY",Private,"1,772","1,990","$28,095","$15,833","$40,575","$70,800",70%,980-1280,21-28,www.asbury.edu
#566,Oakland University,"Rochester, MI",Public,"19,321","19,333","$12,779","$9,476","$36,581","$93,300",84%,1010-1230,21-27,www.oakland.edu
#567,University of New Mexico,"Albuquerque, NM",Public,"23,124","26,221","$14,315","$6,847","$36,736","$94,000",67%,930-1170,19-25,www.unm.edu
#568,Bloomsburg University of Pennsylvania,"Bloomsburg, PA",Public,"9,260","9,729","$19,725","$5,720","$35,750","$92,200",73%,970-1150,19-24,www.bloomu.edu
#569,Boise State University,"Boise, ID",Public,"23,634","24,121","$13,796","$8,258","$37,248","$86,400",84%,940-1160,21-26,www.boisestate.edu
#570,College of the Atlantic,"Bar Harbor, ME",Private,354,390,"$20,234","$37,756","$54,969",N/A,68%,N/A,N/A,www.coa.edu/index.htm
#571,"University of Texas, Rio Grande Valley","Edinburg, TX",Public,"27,807","27,809","$3,901","$9,398","$29,995","$81,200",80%,950-1120,17-22,www.utrgv.edu
#572,Maryville College,"Maryville, TN",Private,"1,181","1,247","$18,146","$27,778","$49,266","$75,300",49%,930-1150,20-27,www.maryvillecollege.edu
#573,Oral Roberts University,"Tulsa, OK",Private,"3,781","3,919","$19,035","$19,393","$41,054","$85,100",93%,990-1210,20-26,www.oru.edu
#574,"University of Alaska, Fairbanks","Fairbanks, AK",Public,"7,664","11,866","$9,988","$7,457","$32,563","$101,800",77%,1030-1270,17-25,www.alaska.edu
#575,Randolph-Macon College,"Ashland, VA",Private,"1,453","1,491","$25,621","$25,338","$54,180",N/A,62%,1050-1233,21-27,www.rmc.edu
#576,Montana Tech of the University of Montana,"Butte, MT",Public,"1,909","2,155","$12,993","$6,405","$35,755","$112,600",92%,1115-1300,22-27,www.mtech.edu
#577,"St. John's College, Santa Fe","Santa Fe, NM",Private,354,386,"$20,605","$31,845","$65,456",N/A,63%,1190-1350,23-32,www.sjca.edu
#578,"Indiana University-Purdue University, Indianapolis","Indianapolis, IN",Public,"25,516","29,791","$12,021","$11,347","$43,022","$88,200",80%,995-1190,19-26,www.iupui.edu
#579,Hartwick College,"Oneonta, NY",Private,"1,201","1,435","$26,136","$29,494","$57,627","$99,200",89%,920-1100,21-26,www.hartwick.edu
#580,Alfred University,"Alfred, NY",Private,"2,017","2,354","$22,286","$20,676","$43,686","$92,000",63%,990-1210,21-26,www.alfred.edu
#581,Oklahoma Baptist University,"Shawnee, OK",Private,"2,056","2,093","$16,267","$18,708","$39,840","$76,600",65%,960-1150,20-26,www.okbu.edu
#582,Alma College,"Alma, MI",Private,"1,426","1,484","$21,836","$28,481","$52,475","$89,900",64%,1030-1230,20-27,www.alma.edu
#583,Saint Cloud State University,"St. Cloud, MN",Public,"14,975","15,955","$14,633","$5,216","$28,920","$91,600",86%,958-1188,18-24,www.stcloudstate.edu
#584,Capital University,"Columbus, OH",Private,"3,120","3,384","$20,866","$25,272","$48,674","$85,100",69%,1075-1245,22-27,www.capital.edu
#585,Liberty University,"Lynchburg, VA",Private,"60,084","75,044","$27,573","$10,400","$38,364","$73,600",30%,1040-1240,21-27,www.liberty.edu
#586,Russell Sage College,"Troy, NY",Private,"1,560","2,525","$19,696","$21,706","$45,397","$81,100",56%,N/A,N/A,www.sage.edu/rsc
#587,Converse College,"Spartanburg, SC",Private,906,"1,478","$21,556","$12,497","$34,190","$71,000",71%,970-1160,20-26,www.converse.edu
#588,Oglethorpe University,"Atlanta, GA",Private,"1,250","1,589","$22,018","$27,532","$53,490","$91,400",58%,1110-1310,22-28,www.oglethorpe.edu
#589,Central Michigan University,"Mount Pleasant, MI",Public,"20,786","23,257","$15,531","$8,624","$35,236","$83,600",68%,1010-1200,20-27,www.cmich.edu
#590,"University of Wisconsin, Milwaukee","Milwaukee, WI",Public,"24,337","24,988","$16,650","$5,647","$35,510","$90,300",72%,N/A,20-25,www.uwm.edu
#591,Bowling Green State University,"Bowling Green, OH",Public,"16,592","17,357","$19,128","$6,542","$32,105","$87,500",73%,990-1230,19-24,www.bgsu.edu
#592,Texas Woman's University,"Denton, TX",Public,"12,020","15,473","$9,493","$8,426","$29,683","$83,400",86%,890-1080,17-23,www.twu.edu
#593,University of Mount Union,"Alliance, OH",Private,"2,195","2,257","$22,786","$17,954","$42,725","$88,500",81%,980-1200,20-25,www.mountunion.edu
#594,Clarke University,"Dubuque, IA",Private,845,"1,039","$24,334","$17,474","$45,900","$80,200",63%,970-1148,20-25,www.clarke.edu
#595,Carthage College,"Kenosha, WI",Private,"2,860","2,940","$26,532","$26,379","$57,250","$85,400",68%,1040-1300,21-27,www.carthage.edu
#596,Centenary College of Louisiana,"Shreveport, LA",Private,501,588,"$24,704","$26,633","$53,000","$88,400",62%,1030-1210,22-28,www.centenary.edu
#597,Wichita State University,"Wichita, KS",Public,"12,704","15,075","$14,113","$5,793","$32,716","$87,300",94%,1000-1275,20-27,www.wichita.edu
#598,Aurora University,"Aurora, IL",Private,"4,248","5,833","$17,220","$15,909","$37,028","$83,400",87%,950-1130,19-23,www.aurora.edu
#599,Georgetown College (KY),"Georgetown, KY",Private,"1,051","1,767","$20,769","$29,107","$50,086","$81,900",67%,N/A,20-26,https://www.georgetowncollege.edu
#600,Western Kentucky University,"Bowling Green, KY",Public,"20,257","21,431","$11,850","$7,295","$36,806","$83,100",95%,970-1180,19-27,www.wku.edu
#601,Wayne State University,"Detroit, MI",Public,"20,314","27,064","$12,970","$9,682","$40,763","$91,700",67%,1000-1210,21-28,wayne.edu
#602,Western Colorado University,"Gunnison, CO",Public,"2,814","3,343","$17,229","$6,195","$35,144","$81,500",86%,990-1200,20-25,www.western.edu
#603,Rhode Island College,"Providence, RI",Public,"8,171","8,318","$10,366","$6,877","$35,465","$83,500",74%,880-1090,15-22,www.ric.edu
#604,Weber State University,"Ogden, UT",Public,"27,949","32,248","$12,061","$4,579","$29,912","$94,000",N/A,N/A,N/A,www.weber.edu
#605,Salem College,"Winston-Salem, NC",Private,968,984,"$17,669","$25,354","$46,080","$73,700",57%,1020-1300,23-29,www.salem.edu
#606,"University of Texas, El Paso","El Paso, TX",Public,"24,386","25,078","$8,135","$9,183","$36,955","$92,100",100%,920-1130,16-22,www.utep.edu
#607,Spring Hill College,"Mobile, AL",Private,"1,442","1,485","$21,108","$29,825","$55,168",N/A,46%,1025-1185,21-26,www.shc.edu
#608,Sweet Briar College,"Sweet Briar, VA",Private,323,406,"$21,291","$30,802","$54,155","$79,700",93%,993-1180,20-28,sbc.edu
#609,University of Toledo,"Toledo, OH",Public,"18,077","20,579","$13,832","$8,050","$34,375","$92,500",94%,1020-1240,20-26,www.utoledo.edu
#610,University of Montana,"Missoula, MT",Public,"11,671","11,865","$15,006","$5,404","$38,356","$87,800",93%,1060-1270,21-26,www.umt.edu
#611,Southeastern Louisiana University,"Hammond, LA",Public,"14,285","16,512","$12,739","$7,250","$34,155","$83,900",88%,N/A,19-24,www.selu.edu
#612,University of South Alabama,"Mobile, AL",Public,"12,848","15,569","$14,237","$6,927","$28,210","$86,400",82%,1010-1200,20-26,www.southalabama.edu
#613,Murray State University,"Murray, KY",Public,"9,916","10,012","$11,497","$8,426","$37,870","$79,900",87%,980-1190,21-27,www.murraystate.edu
#614,Anderson University (IN),"Anderson, IN",Private,"1,877","1,961","$23,799","$17,790","$43,450","$78,600",65%,910-1110,19-25,anderson.edu
#615,University of West Florida,"Pensacola, FL",Public,"12,449","13,040","$10,729","$5,222","$31,895","$81,700",50%,1080-1240,22-27,uwf.edu
#616,University of New Orleans,"New Orleans, LA",Public,"7,964","8,082","$11,135","$8,151","$28,568","$91,600",57%,1030-1250,20-25,www.uno.edu
#617,Indiana University of Pennsylvania,"Indiana, PA",Public,"12,003","12,431","$20,940","$6,772","$32,461","$85,900",91%,910-1120,17-23,ww.iup.edu
#618,North Greenville University,"Tigerville, SC",Private,"2,356","2,565","$26,450","$15,812","$36,000",N/A,61%,930-1270,19-28,www.ngu.edu
#619,University of Texas at San Antonio,"San Antonio, TX",Public,"27,880","30,768","$12,745","$8,177","$34,484","$87,500",79%,1030-1210,20-25,www.utsa.edu
#620,Millikin University,"Decatur, IL",Private,"2,040","2,132","$20,435","$23,312","$47,664","$83,400",65%,1080-1260,19-26,www.millikin.edu/Pages/default.aspx
#621,Northern Illinois University,"DeKalb, IL",Public,"15,429","18,045","$19,786","$9,482","$38,314","$95,500",53%,N/A,19-24,www.niu.edu/index.shtml
#622,Cleveland State University,"Cleveland, OH",Public,"14,594","16,371","$16,582","$7,096","$30,825","$88,600",90%,990-1210,19-25,www.csuohio.edu
#623,Humboldt State University,"Arcata, CA",Public,"8,525","8,602","$14,490","$9,038","$36,601","$89,000",82%,960-1160,18-24,www.humboldt.edu
#624,Monmouth College,"Monmouth, IL",Private,"1,033","1,205","$17,190","$27,809","$47,970","$88,100",67%,900-1090,20-25,www.monmouthcollege.edu
#625,St. Francis College,"Brooklyn, NY",Private,"2,362","2,745","$9,560","$15,533","$44,488","$93,200",63%,950-1120,20-24,www.sfc.edu
#626,Elmira College,"Elmira, NY",Private,"1,012","1,135","$26,255","$26,883","$55,050","$82,200",85%,N/A,N/A,www.elmira.edu
#627,University of Southern Mississippi,"Hattiesburg, MS",Public,"13,606","14,478","$13,178","$9,292","$24,883","$83,900",98%,N/A,19-26,home.usm.edu
#628,Lyon College,"Batesville, AR",Private,672,705,"$18,605","$18,534","$39,120",N/A,64%,1030-1234,22-28,www.lyon.edu
#629,Southern Illinois University Carbondale,"Carbondale, IL",Public,"13,518","14,554","$17,175","$10,924","$42,770","$90,900",76%,920-1330,20-26,siu.edu
#630,Kent State University Kent Campus,"Kent, OH",Public,"27,376","28,972","$18,432","$7,306","$34,046","$83,100",88%,1040-1220,21-25,www.kent.edu
#631,Middle Tennessee State University,"Murfreesboro, TN",Public,"21,913","23,050","$12,416","$8,607","$40,458","$81,100",59%,990-1210,20-25,www.mtsu.edu
#632,Warren Wilson College,"Asheville, NC",Private,661,695,"$25,117","$19,414","$49,744","$74,600",79%,1140-1285,25-29,www.warren-wilson.edu/external_index.php
#633,Northern Kentucky University,"Highland Heights, KY",Public,"14,141","14,456","$9,131","$8,295","$32,136","$87,400",90%,993-1210,20-26,www.nku.edu
#634,Western Illinois University,"Macomb, IL",Public,"9,441","9,656","$15,844","$9,239","$25,835","$85,900",60%,N/A,18-23,www.wiu.edu
#635,"University of Alaska, Anchorage","Anchorage, AK",Public,"15,733","23,824","$13,378","$6,207","$39,902","$101,000",83%,N/A,N/A,www.uaa.alaska.edu
#636,Fort Lewis College,"Durango, CO",Public,"3,332","3,925","$17,705","$10,850","$36,843","$82,600",83%,1020-1210,20-25,www.fortlewis.edu
#637,Marlboro College,"Marlboro, VT",Private,185,390,"$17,636","$33,054","$55,625",N/A,97%,N/A,N/A,www.marlboro.edu
#638,Wright State University,"Dayton, OH",Public,"14,332","15,957","$16,249","$6,546","$32,506","$87,800",97%,980-1270,19-25,https://www.wright.edu
#639,Hiram College,"Hiram, OH",Private,"1,200","1,221","$21,474","$23,318","$47,757","$84,100",64%,940-1200,18-24,www.hiram.edu
#640,University of Memphis,"Memphis, TN",Public,"19,875","21,521","$13,921","$8,960","$36,372","$85,800",85%,1010-1230,19-25,www.mephis.edu
#641,Eastern Kentucky University,"Richmond, KY",Public,"16,155","16,612","$11,892","$8,234","$31,978","$80,700",87%,960-1130,20-25,www.eku.edu
#642,Fisk University,"Nashville, TN",Private,701,738,"$28,362","$9,396","$37,070","$83,600",45%,940-1260,16-22,www.fisk.edu/Home.aspx
#643,Guilford College,"Greensboro, NC",Private,"1,680","2,050","$23,560","$22,964","$50,813","$75,600",91%,N/A,N/A,www.guilford.edu
#644,Carson-Newman University,"Jefferson City, TN",Private,"1,934","2,514","$18,003","$20,126","$40,640","$76,500",67%,940-1150,20-26,www.cn.edu
#645,Morehouse College,"Atlanta, GA",Private,"2,202","2,219","$34,928","$17,318","$48,723","$98,700",74%,950-1160,18-23,https://www.morehouse.edu
#646,New Mexico State University,"Las Cruces, NM",Public,"13,379","14,432","$8,625","$9,582","$34,720","$96,700",64%,910-1160,18-23,www.nmsu.edu
#647,Indiana State University,"Terre Haute, IN",Public,"13,626","13,763","$13,012","$9,297","$32,938","$85,600",85%,900-1110,17-23,www.indstate.edu
#648,Emory &amp; Henry College,"Emory, VA",Private,"1,094","1,226","$19,340","$27,155","$48,100","$70,700",72%,988-1170,19-25,www.ehc.edu
#649,Wells College,"Aurora, NY",Private,488,516,"$22,828","$30,207","$55,180",N/A,80%,N/A,N/A,www.wells.edu
#650,Catawba College,"Salisbury, NC",Private,"1,336","1,463","$19,807","$23,662","$44,921","$78,100",42%,930-1100,18-23,www.catawba.edu
